word,sentiment
actual,ambiguous
actually,ambiguous
address,ambiguous
addressing,ambiguous
affairs,ambiguous
agenda,ambiguous
agent,ambiguous
always,ambiguous
amount,ambiguous
amounts,ambiguous
appear,ambiguous
appeared,ambiguous
appears,ambiguous
applied,ambiguous
applies,ambiguous
apply,ambiguous
area,ambiguous
areas,ambiguous
argue,ambiguous
arguing,ambiguous
argument,ambiguous
arguments,ambiguous
arn,ambiguous
astrazeneca,ambiguous
attempt,ambiguous
attempting,ambiguous
attempts,ambiguous
attributed,ambiguous
automatically,ambiguous
average,ambiguous
avg,ambiguous
became,ambiguous
become,ambiguous
becomes,ambiguous
becoming,ambiguous
beforehand,ambiguous
belong,ambiguous
beyond,ambiguous
billion,ambiguous
billions,ambiguous
biontech,ambiguous
biontechgroup,ambiguous
biotech,ambiguous
bloke,ambiguous
board,ambiguous
bodies,ambiguous
bodily,ambiguous
body,ambiguous
bodys,ambiguous
bot,ambiguous
bots,ambiguous
bought,ambiguous
breakingnews,ambiguous
brexit,ambiguous
brief,ambiguous
briefing,ambiguous
categories,ambiguous
category,ambiguous
cell,ambiguous
cells,ambiguous
cellular,ambiguous
chain,ambiguous
cheap,ambiguous
class,ambiguous
classed,ambiguous
close,ambiguous
comirnaty,ambiguous
condition,ambiguous
conditions,ambiguous
constant,ambiguous
constantly,ambiguous
contact,ambiguous
covax,ambiguous
cycle,ambiguous
dare,ambiguous
declaration,ambiguous
definitely,ambiguous
develop,ambiguous
developed,ambiguous
developing,ambiguous
dig,ambiguous
distract,ambiguous
distraction,ambiguous
dna,ambiguous
duration,ambiguous
emerge,ambiguous
emerged,ambiguous
emergence,ambiguous
emerging,ambiguous
encounter,ambiguous
enforcement,ambiguous
episode,ambiguous
equivalent,ambiguous
era,ambiguous
EU,ambiguous
events,ambiguous
eventually,ambiguous
evidence,ambiguous
evolution,ambiguous
evolve,ambiguous
exit,ambiguous
federal,ambiguous
feel,ambiguous
feeling,ambiguous
feelings,ambiguous
feels,ambiguous
felt,ambiguous
fine,ambiguous
fly,ambiguous
flying,ambiguous
gates,ambiguous
give,ambiguous
given,ambiguous
gives,ambiguous
giving,ambiguous
gone,ambiguous
grab,ambiguous
grasp,ambiguous
happen,ambiguous
happened,ambiguous
happening,ambiguous
happens,ambiguous
headline,ambiguous
headlines,ambiguous
high,ambiguous
higher,ambiguous
highest,ambiguous
hilarious,ambiguous
hot,ambiguous
hydroxychloroquine,ambiguous
immediate,ambiguous
immediately,ambiguous
imminent,ambiguous
importance,ambiguous
important,ambiguous
importantly,ambiguous
increase,ambiguous
increased,ambiguous
increases,ambiguous
increasing,ambiguous
increasingly,ambiguous
incredible,ambiguous
incredibly,ambiguous
involving,ambiguous
ivermectin,ambiguous
janssen,ambiguous
joke,ambiguous
joking,ambiguous
lab,ambiguous
laboratory,ambiguous
labos,ambiguous
labour,ambiguous
labs,ambiguous
link,ambiguous
linked,ambiguous
links,ambiguous
machine,ambiguous
max,ambiguous
maximum,ambiguous
mean,ambiguous
means,ambiguous
media,ambiguous
medias,ambiguous
merck,ambiguous
method,ambiguous
methods,ambiguous
mindset,ambiguous
modern,ambiguous
moderna,ambiguous
modernas,ambiguous
novavax,ambiguous
numerous,ambiguous
obvious,ambiguous
obviously,ambiguous
officer,ambiguous
officers,ambiguous
ordinary,ambiguous
originally,ambiguous
otherwise,ambiguous
oxfordastrazeneca,ambiguous
period,ambiguous
periods,ambiguous
permanent,ambiguous
permanently,ambiguous
pfizer,ambiguous
pfizerbiontech,ambiguous
pfizermoderna,ambiguous
phase,ambiguous
piers,ambiguous
planned,ambiguous
planning,ambiguous
plans,ambiguous
plausible,ambiguous
potential,ambiguous
potentially,ambiguous
prediction,ambiguous
progress,ambiguous
promise,ambiguous
promised,ambiguous
promises,ambiguous
promising,ambiguous
promote,ambiguous
promoted,ambiguous
promoting,ambiguous
protein,ambiguous
proteins,ambiguous
rate,ambiguous
rates,ambiguous
real,ambiguous
realise,ambiguous
realised,ambiguous
realising,ambiguous
reality,ambiguous
realize,ambiguous
realy,ambiguous
regards,ambiguous
repeat,ambiguous
repeated,ambiguous
repeatedly,ambiguous
repeating,ambiguous
report,ambiguous
reported,ambiguous
reportedly,ambiguous
reporting,ambiguous
reports,ambiguous
request,ambiguous
require,ambiguous
required,ambiguous
requirement,ambiguous
requirements,ambiguous
requires,ambiguous
requiring,ambiguous
rest,ambiguous
rna,ambiguous
scenarios,ambiguous
score,ambiguous
sentiment,ambiguous
shows,ambiguous
significant,ambiguous
significantly,ambiguous
similar,ambiguous
similarly,ambiguous
single,ambiguous
sinopharm,ambiguous
sinovac,ambiguous
slow,ambiguous
slowing,ambiguous
slowly,ambiguous
smell,ambiguous
source,ambiguous
sources,ambiguous
sputnik,ambiguous
stage,ambiguous
stages,ambiguous
stance,ambiguous
status,ambiguous
straight,ambiguous
stream,ambiguous
sufficient,ambiguous
superior,ambiguous
surprise,ambiguous
surprised,ambiguous
surprising,ambiguous
tag,ambiguous
tech,ambiguous
technical,ambiguous
technically,ambiguous
technologies,ambiguous
technology,ambiguous
term,ambiguous
terms,ambiguous
therapies,ambiguous
therapy,ambiguous
thousand,ambiguous
thousands,ambiguous
timing,ambiguous
tools,ambiguous
total,ambiguous
totally,ambiguous
typical,ambiguous
valneva,ambiguous
vaxart,ambiguous
vaxarts,ambiguous
view,ambiguous
views,ambiguous
wanted,ambiguous
widespread,ambiguous
woke,ambiguous
zero,ambiguous
stricter,ne
abandoned,negative
absurd,negative
abuse,negative
accident,negative
accidentally,negative
accidents,negative
accused,negative
accuses,negative
ache,negative
ached,negative
aches,negative
aching,negative
achy,negative
act,negative
acted,negative
acting,negative
activist,negative
activists,negative
actors,negative
acute,negative
administration,negative
admission,negative
admissions,negative
ads,negative
adverse,negative
advert,negative
advertised,negative
advertising,negative
adverts,negative
affect,negative
affected,negative
affecting,negative
affects,negative
afraid,negative
aged,negative
aggressive,negative
aids,negative
ain't,negative
airborne,negative
alarm,negative
alarming,negative
alcohol,negative
alert,negative
alleged,negative
allegedly,negative
allergic,negative
allergies,negative
allergy,negative
alone,negative
alpha,negative
although,negative
ambulance,negative
anecdotal,negative
anger,negative
angry,negative
animal,negative
animals,negative
annoyed,negative
annoying,negative
anonymous,negative
anti,negative
antieverything,negative
antigen,negative
antigens,negative
antimask,negative
antimaskers,negative
antipass,negative
antiscience,negative
antisocial,negative
antivaccination,negative
antivaccine,negative
antivax,negative
antivaxer,negative
antivaxers,negative
anxiety,negative
anxious,negative
anything,negative
apartheid,negative
apocalyptic,negative
apologies,negative
apologise,negative
appalling,negative
appeal,negative
approximately,negative
arena,negative
aren't,negative
armed,negative
army,negative
arrest,negative
arrested,negative
arrogant,negative
arse,negative
arsed,negative
ashamed,negative
aside,negative
asleep,negative
ass,negative
assume,negative
assumed,negative
assuming,negative
assumption,negative
assumptions,negative
asthma,negative
astonishing,negative
asymptomatic,negative
attached,negative
attack,negative
attacked,negative
attacking,negative
attacks,negative
attend,negative
attended,negative
attending,negative
authoritarian,negative
authoritarianism,negative
authorities,negative
authority,negative
autism,negative
autistic,negative
autoimmune,negative
avoid,negative
avoidable,negative
avoided,negative
avoiding,negative
awaiting,negative
away,negative
awful,negative
backbenchers,negative
backhand,negative
backs,negative
backwards,negative
bad,negative
badly,negative
badvaccinetakes,negative
ban,negative
bang,negative
banging,negative
bank,negative
banks,negative
banned,negative
banning,negative
bans,negative
barely,negative
barred,negative
bastard,negative
bastards,negative
bat,negative
battle,negative
beany,negative
bear,negative
bearing,negative
beast,negative
beat,negative
beating,negative
beats,negative
beg,negative
begging,negative
behind,negative
besides,negative
bet,negative
beta,negative
bets,negative
bias,negative
biased,negative
bigpharma,negative
bill,negative
billgates,negative
billionaire,negative
bills,negative
bin,negative
binary,negative
bioweapon,negative
bitch,negative
bite,negative
bits,negative
bizarre,negative
blackmail,negative
blah,negative
blame,negative
blamed,negative
blaming,negative
blind,negative
block,negative
blocked,negative
blocking,negative
blood,negative
bloody,negative
blow,negative
blown,negative
blows,negative
bonkers,negative
boom,negative
border,negative
borders,negative
bored,negative
boring,negative
boss,negative
bother,negative
bothered,negative
bothred,negative
bottom,negative
bound,negative
bout,negative
boxing,negative
brainwashed,negative
brand,negative
breach,negative
breaches,negative
breaching,negative
break,negative
breakdown,negative
breaker,negative
breakers,negative
breaking,negative
breaks,negative
breakthrough,negative
brigade,negative
broad,negative
broader,negative
broadly,negative
broke,negative
broken,negative
brutal,negative
bug,negative
bugger,negative
bull,negative
bullet,negative
bullshit,negative
bullying,negative
burden,negative
burn,negative
business,negative
businesses,negative
busy,negative
bye,negative
calculate,negative
calculated,negative
can<U+FFFD>t,negative
cancel,negative
cancellations,negative
cancelled,negative
cancelling,negative
cancer,negative
cancers,negative
cannabis,negative
cannot,negative
can't,negative
capital,negative
capitalism,negative
card,negative
cardiac,negative
cardiovascular,negative
cards,negative
carpet,negative
case,negative
cases,negative
catastrophe,negative
catastrophic,negative
catch,negative
catches,negative
catching,negative
caught,negative
