word,sentiment
abacus,positive
abandon,negative
abandoned,negative
abandoning,negative
abandonment,negative
abandonments,negative
abandons,negative
abate,negative
abbot,ambiguous
abdicate,negative
abdicated,negative
abdicates,negative
abdicating,negative
abdication,negative
abdications,negative
abducted,negative
abduction,negative
abductions,negative
aberrant,negative
aberration,negative
aberrational,negative
aberrations,negative
abetting,negative
abeyance,ambiguous
abeyances,ambiguous
abhor,negative
abhorred,negative
abhorrent,negative
abhors,negative
abide,negative
abiding,negative
abilities,positive
ability,positive
abject,negative
able,positive
abnormal,negative
abnormalities,negative
abnormality,negative
abnormally,negative
aboard,positive
abolish,negative
abolished,negative
abolishes,negative
abolishing,negative
abolition,negative
abominable,negative
abominably,negative
abominate,negative
abomination,negative
abort,negative
aborted,negative
abortion,negative
abortive,negative
aborts,negative
abound,positive
abounds,positive
abovementioned,ambiguous
abrade,negative
abrasion,negative
abrasive,negative
abrogate,ambiguous
abrogated,ambiguous
abrogates,ambiguous
abrogating,ambiguous
abrogation,ambiguous
abrogations,ambiguous
abrupt,negative
abruptly,negative
abruptness,negative
abscess,negative
abscond,negative
absence,ambiguous
absences,negative
absent,negative
absentee,negative
absenteeism,negative
absentees,negative
absent-minded,negative
absolute,positive
absolutely,positive
absolution,ambiguous
absolve,ambiguous
absolved,ambiguous
absolves,ambiguous
absolving,ambiguous
absorbed,positive
absorbent,positive
absorption,positive
absurd,negative
absurdity,negative
absurdly,negative
absurdness,negative
abundance,positive
abundant,positive
abuse,negative
abused,negative
abusing,negative
abusive,negative
abusively,negative
abusiveness,negative
abysmal,negative
abysmally,negative
abyss,negative
academic,positive
academy,positive
accede,positive
accelerate,positive
accentuate,positive
accept,positive
acceptable,positive
acceptance,positive
accepted,positive
accepting,positive
accepts,positive
access,positive
accessable,positive
accessible,positive
accession,ambiguous
accessions,ambiguous
accident,negative
accidental,negative
accidentally,negative
accidents,negative
acclaim,positive
acclaimed,positive
acclamation,positive
accolade,positive
accolades,positive
accommodate,positive
accommodation,positive
accommodative,positive
accomodative,positive
accompaniment,positive
accomplish,positive
accomplished,positive
accomplishes,positive
accomplishing,positive
accomplishment,positive
accord,positive
accordance,positive
according,positive
accost,negative
account,positive
accountability,positive
accountable,positive
accountant,positive
accounts,positive
accredited,positive
accrue,positive
accueil,positive
accuracy,positive
accurate,positive
accurately,positive
accurateness,positive
accursed,negative
accusation,negative
accusations,negative
accusative,negative
accuse,negative
accused,negative
accuser,negative
accuses,negative
accusing,negative
accusingly,negative
ace,positive
acerbate,negative
acerbic,negative
acerbically,negative
ache,negative
ached,negative
aches,negative
achey,negative
achievable,positive
achieve,positive
achieved,positive
achievement,positive
achievements,positive
achieves,positive
achievible,positive
achieving,positive
aching,negative
achy,negative
acid,negative
acknowledge,positive
acknowledgement,positive
acknowledgment,positive
acquaint,positive
acquaintance,positive
acquiesce,negative
acquiesced,negative
acquiesces,negative
acquiescing,negative
acquire,positive
acquired,positive
acquirees,ambiguous
acquiring,positive
acquirors,ambiguous
acquit,ambiguous
acquits,ambiguous
acquittal,positive
acquittals,ambiguous
acquittance,ambiguous
acquittances,ambiguous
acquitted,ambiguous
acquitting,ambiguous
acrid,negative
acridly,negative
acridness,negative
acrimonious,negative
acrimoniously,negative
acrimony,negative
acrobat,positive
act,negative
acted,negative
acting,negative
action,positive
actionable,negative
actions,positive
active,positive
actively,positive
activist,negative
activists,negative
activities,positive
activity,positive
actors,negative
acts,positive
actual,ambiguous
actuality,positive
actually,ambiguous
acuity,positive
acumen,positive
acute,negative
adamant,negative
adamantly,negative
adapt,positive
adaptability,positive
adaptable,positive
adaptation,positive
adapted,positive
adaptive,positive
add,positive
added,positive
addendums,ambiguous
adder,negative
addict,negative
addicted,negative
addicting,negative
addiction,negative
addicts,negative
adding,positive
addition,positive
additional,positive
address,ambiguous
addresses,positive
addressing,ambiguous
adds,positive
adept,positive
adeptness,positive
adequacy,positive
adequate,positive
adequately,positive
adherence,positive
adherent,positive
adhering,positive
adhesion,positive
adhesive,positive
adipose,negative
adjourn,ambiguous
adjourned,ambiguous
adjourning,ambiguous
adjournment,ambiguous
adjournments,ambiguous
adjourns,ambiguous
adjudge,ambiguous
adjudged,ambiguous
adjudges,ambiguous
adjudging,ambiguous
adjudicate,ambiguous
adjudicated,ambiguous
adjudicates,ambiguous
adjudicating,ambiguous
adjudication,ambiguous
adjudications,ambiguous
adjudicative,ambiguous
adjudicator,ambiguous
adjudicators,ambiguous
adjudicatory,ambiguous
adjunct,positive
adjust,positive
adjustable,positive
adjusted,positive
adjustment,positive
admin,positive
administer,positive
administered,positive
administering,positive
administration,negative
administrative,ambiguous
admirable,positive
admirably,positive
admiral,positive
admiration,positive
admire,positive
admired,positive
admirer,positive
admires,positive
admiring,positive
admiringly,positive
admissibility,ambiguous
admissible,ambiguous
admissibly,ambiguous
admission,negative
admissions,ambiguous
admit,ambiguous
admits,ambiguous
admittance,positive
admitted,positive
admitting,positive
admonish,negative
admonished,negative
admonisher,negative
admonishingly,negative
admonishment,negative
admonition,negative
adopt,positive
adopted,positive
adopts,positive
adorable,positive
adoration,positive
adore,positive
adored,positive
adorer,positive
adores,positive
adoring,positive
adoringly,positive
adorn,positive
adornment,positive
adrift,negative
adroit,positive
adroitly,positive
ads,negative
adulate,positive
adulation,positive
adulatory,positive
adult,positive
adulterate,negative
adulterated,negative
adulterating,negative
adulteration,negative
adulterations,negative
adulterier,negative
adultery,negative
adults,positive
advance,positive
advanced,positive
advancement,positive
advancements,positive
advances,positive
advancing,positive
advantage,positive
advantaged,positive
advantageous,positive
advantages,positive
advent,positive
adventure,positive
adventures,positive
adventuresome,positive
adventurous,positive
adversarial,negative
adversaries,negative
adversary,negative
adverse,negative
adversely,negative
adversities,negative
adversity,negative
advert,negative
advertised,negative
advertising,negative
adverts,negative
advice,positive
advisable,positive
advise,positive
advised,positive
adviser,positive
advisers,positive
advising,positive
advisory,positive
advocacy,positive
advocate,positive
advocated,positive
advocates,positive
advocating,positive
aegis,positive
aesthetic,positive
aesthetics,positive
affability,positive
affable,positive
affably,positive
affect,negative
affectation,ambiguous
affected,negative
affecting,negative
affection,positive
affectionate,positive
affects,negative
affidavit,ambiguous
affidavits,ambiguous
affiliate,positive
affiliated,positive
affiliation,positive
affinity,positive
affirm,ambiguous
affirmance,ambiguous
affirmation,ambiguous
affirmative,positive
affirmatively,ambiguous
affix,positive
afflict,negative
afflicted,negative
affliction,negative
afflictive,negative
affluence,positive
affluent,positive
